coordinator-1  | 2025-05-01 17:41:48,024 - werkzeug - INFO - 172.21.0.12 - - [01/May/2025 17:41:48] "GET /health HTTP/1.1" 200 -
coordinator-1  | 2025-05-01 17:42:05,553 - coordinator - INFO - Vérification de santé du portfolio...
coordinator-1  | 2025-05-01 17:42:05,559 - coordinator - INFO - ✅ Service Portfolio en bonne santé
coordinator-1  | 2025-05-01 17:42:05,560 - coordinator - INFO - Réallocation périodique des fonds...
coordinator-1  | 2025-05-01 17:42:05,583 - coordinator.src.pocket_checker - INFO - Cache des poches mis à jour: 3 poches
coordinator-1  | 2025-05-01 17:42:05,584 - coordinator.src.pocket_checker - INFO - ✅ Réallocation des poches effectuée (valeur totale: 1003.11 USDC)
coordinator-1  | 2025-05-01 17:42:55,139 - werkzeug - INFO - 172.21.0.12 - - [01/May/2025 17:42:55] "GET /health HTTP/1.1" 200 -
coordinator-1  | 2025-05-01 17:43:05,667 - coordinator - INFO - Vérification de santé du portfolio...
coordinator-1  | 2025-05-01 17:43:05,678 - coordinator - INFO - ✅ Service Portfolio en bonne santé
coordinator-1  | 2025-05-01 17:43:05,679 - coordinator - INFO - Vérification de la synchronisation des poches...
coordinator-1  | 2025-05-01 17:43:05,693 - coordinator.src.pocket_checker - ERROR - Impossible de récupérer les cycles actifs
coordinator-1  | 2025-05-01 17:44:00,304 - coordinator.src.signal_handler - WARNING - ❌ Message d'échec d'ordre reçu sans cycle_id
coordinator-1  | 2025-05-01 17:44:02,260 - werkzeug - INFO - 172.21.0.12 - - [01/May/2025 17:44:02] "GET /health HTTP/1.1" 200 -
coordinator-1  | 2025-05-01 17:44:05,777 - coordinator - INFO - Vérification de santé du portfolio...
coordinator-1  | 2025-05-01 17:44:05,789 - coordinator - INFO - ✅ Service Portfolio en bonne santé
coordinator-1  | 2025-05-01 17:44:05,790 - coordinator - INFO - Réallocation périodique des fonds...
coordinator-1  | 2025-05-01 17:44:05,816 - coordinator.src.pocket_checker - INFO - Cache des poches mis à jour: 3 poches
coordinator-1  | 2025-05-01 17:44:05,816 - coordinator.src.pocket_checker - INFO - ✅ Réallocation des poches effectuée (valeur totale: 1000.46 USDC)
coordinator-1  | 2025-05-01 17:45:00,355 - coordinator.src.signal_handler - INFO - 📨 Signal reçu: BUY BTCUSDC @ 96628.24 (Bollinger_Strategy)
coordinator-1  | 2025-05-01 17:45:00,369 - coordinator.src.pocket_checker - INFO - Cache des poches mis à jour: 3 poches
coordinator-1  | 2025-05-01 17:45:00,370 - coordinator.src.pocket_checker - INFO - Fonds disponibles dans la poche active: 600.28 USDC (depuis cache)
coordinator-1  | 2025-05-01 17:45:00,370 - coordinator.src.pocket_checker - INFO - Vérification de disponibilité: 80.80 USDC requis, 600.28 USDC disponibles dans la poche active
coordinator-1  | 2025-05-01 17:45:00,370 - coordinator.src.pocket_checker - INFO - Fonds disponibles dans la poche active: 600.28 USDC (depuis cache)
coordinator-1  | 2025-05-01 17:45:00,370 - coordinator.src.pocket_checker - INFO - Vérification de disponibilité: 80.80 USDC requis, 600.28 USDC disponibles dans la poche active
coordinator-1  | 2025-05-01 17:45:00,390 - coordinator.src.pocket_checker - INFO - ✅ 80.00 USDC réservés dans la poche active pour le cycle temp_1746121500
coordinator-1  | 2025-05-01 17:45:00,390 - coordinator.src.signal_handler - INFO - Envoi de la requête au Trader: {'symbol': 'BTCUSDC', 'side': 'BUY', 'quantity': 0.0008279153175096638, 'price': 96628.24, 'strategy': 'Bollinger_Strategy', 'timestamp': 1746121500370}
coordinator-1  | 2025-05-01 17:45:00,786 - coordinator.src.pocket_checker - INFO - ✅ 80.00 USDC libérés dans la poche active pour le cycle temp_1746121500
coordinator-1  | 2025-05-01 17:45:00,792 - coordinator.src.pocket_checker - INFO - Cache des poches mis à jour: 3 poches
coordinator-1  | 2025-05-01 17:45:00,793 - coordinator.src.pocket_checker - INFO - Fonds disponibles dans la poche active: 600.28 USDC (depuis cache)
coordinator-1  | 2025-05-01 17:45:00,793 - coordinator.src.pocket_checker - INFO - Vérification de disponibilité: 80.80 USDC requis, 600.28 USDC disponibles dans la poche active
coordinator-1  | 2025-05-01 17:45:00,803 - coordinator.src.pocket_checker - INFO - ✅ 80.00 USDC réservés dans la poche active pour le cycle cycle_3a0c3ba4b02d4103
coordinator-1  | 2025-05-01 17:45:00,803 - coordinator.src.signal_handler - INFO - ✅ Cycle de trading créé: cycle_3a0c3ba4b02d4103 (BUY BTCUSDC)
coordinator-1  | 2025-05-01 17:45:00,803 - coordinator.src.signal_handler - INFO - ✅ Trade exécuté pour le signal Bollinger_Strategy sur BTCUSDC
coordinator-1  | 2025-05-01 17:45:05,901 - coordinator - INFO - Vérification de santé du portfolio...
coordinator-1  | 2025-05-01 17:45:05,908 - coordinator - INFO - ✅ Service Portfolio en bonne santé
coordinator-1  | 2025-05-01 17:45:09,391 - werkzeug - INFO - 172.21.0.12 - - [01/May/2025 17:45:09] "GET /health HTTP/1.1" 200 -
coordinator-1  | 2025-05-01 17:46:06,002 - coordinator - INFO - Vérification de santé du portfolio...
coordinator-1  | 2025-05-01 17:46:06,012 - coordinator - INFO - ✅ Service Portfolio en bonne santé
coordinator-1  | 2025-05-01 17:46:06,012 - coordinator - INFO - Réallocation périodique des fonds...
coordinator-1  | 2025-05-01 17:46:06,039 - coordinator.src.pocket_checker - INFO - Cache des poches mis à jour: 3 poches
