portfolio-1  | INFO:     172.22.0.14:58686 - "GET /health HTTP/1.1" 200 OK
portfolio-1  | 2025-04-30 22:26:08,101 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-04-30 22:26:08,102 - portfolio.src.models - INFO - ✅ PortfolioModel initialisé
portfolio-1  | INFO:     172.22.0.13:57652 - "GET /summary HTTP/1.1" 200 OK
portfolio-1  | 2025-04-30 22:26:08,113 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-04-30 22:26:08,113 - portfolio.src.models - INFO - ✅ PortfolioModel initialisé
portfolio-1  | INFO:     172.22.0.13:57654 - "GET /performance/daily?limit=1 HTTP/1.1" 200 OK
portfolio-1  | 2025-04-30 22:27:06,427 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | INFO:     172.22.0.14:57546 - "GET /health HTTP/1.1" 200 OK
portfolio-1  | 2025-04-30 22:27:06,436 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-04-30 22:27:06,436 - portfolio.src.models - INFO - ✅ PortfolioModel initialisé
portfolio-1  | INFO:     172.22.0.14:57558 - "GET /summary HTTP/1.1" 200 OK
portfolio-1  | 2025-04-30 22:27:06,445 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-04-30 22:27:06,446 - portfolio.src.pockets - INFO - ✅ PocketManager initialisé
portfolio-1  | 2025-04-30 22:27:06,446 - portfolio.src.pockets - INFO - Début update_pockets_allocation avec total_value=978.5956998600002
portfolio-1  | 2025-04-30 22:27:06,447 - portfolio.src.pockets - INFO - Poches récupérées: 3 poches
portfolio-1  | 2025-04-30 22:27:06,448 - portfolio.src.pockets - INFO - Poche active: allocation=0.6
portfolio-1  | 2025-04-30 22:27:06,448 - portfolio.src.pockets - INFO - Poche buffer: allocation=0.3
portfolio-1  | 2025-04-30 22:27:06,448 - portfolio.src.pockets - INFO - Poche safety: allocation=0.1
portfolio-1  | 2025-04-30 22:27:06,450 - portfolio.src.pockets - INFO - ✅ Allocation des poches mise à jour (total: 978.60)
portfolio-1  | INFO:     172.22.0.14:57566 - "PUT /pockets/allocation?total_value=978.5956998600002 HTTP/1.1" 200 OK
portfolio-1  | 2025-04-30 22:27:06,455 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-04-30 22:27:06,456 - portfolio.src.pockets - INFO - ✅ PocketManager initialisé
portfolio-1  | INFO:     172.22.0.14:57574 - "GET /pockets HTTP/1.1" 200 OK
portfolio-1  | 2025-04-30 22:27:06,463 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-04-30 22:27:06,465 - portfolio.src.pockets - INFO - ✅ PocketManager initialisé
portfolio-1  | INFO:     172.22.0.14:57576 - "GET /pockets HTTP/1.1" 200 OK
portfolio-1  | 2025-04-30 22:27:08,198 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-04-30 22:27:08,198 - portfolio.src.models - INFO - ✅ PortfolioModel initialisé
portfolio-1  | INFO:     172.22.0.13:60044 - "GET /summary HTTP/1.1" 200 OK
portfolio-1  | 2025-04-30 22:27:08,207 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-04-30 22:27:08,207 - portfolio.src.models - INFO - ✅ PortfolioModel initialisé
portfolio-1  | INFO:     172.22.0.13:60060 - "GET /performance/daily?limit=1 HTTP/1.1" 200 OK
portfolio-1  | 2025-04-30 22:27:08,592 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | INFO:     172.22.0.12:37748 - "GET /health HTTP/1.1" 200 OK
portfolio-1  | 2025-04-30 22:27:43,719 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
